company,console,name,metascore
Sony,PS3,Stealth Inc: A Clone in the Dark,80
Sony,PS3,Steins Gate,83
Sony,PS3,Yakuza 5,83
Sony,PS3,Madden NFL 13,83
Sony,PS3,Ratchet & Clank Collection,83
Sony,PS3,Sine Mora,83
Sony,PS3,Sleeping Dogs,83
Sony,PS3,Hitman: Absolution,83
Sony,PS3,Call of Duty: Black Ops II,83
Sony,PS3,LEGO The Lord of the Rings,82
Sony,PS3,Dyad,82
Sony,PS3,Sonic & All-Stars Racing Transformed,82
Sony,PS3,Skullgirls,82
Sony,PS3,Under Night In-Birth Exe:Late,80
Sony,PS3,Tekken Tag Tournament 2,82
Sony,PS3,Virtua Fighter 5: Final Showdown,82
Sony,PS3,Pro Evolution Soccer 2013,82
Sony,PS3,Closure,81
Sony,PS3,LEGO Batman 2: DC Super Heroes,81
Sony,PS3,SSX,81
Sony,PS3,Jak and Daxter Collection,81
Sony,PS3,SoulCalibur V,81
Sony,PS3,Kingdoms of Amalur: Reckoning,81
Sony,PS3,F1 2012,81
Sony,PS3,The Walking Dead: Episode 4 - Around Every Corner,81
Sony,PS3,NFL Blitz,80
Sony,PS3,Counter-Strike: Global Offensive,80
Sony,PS3,Split/Second,84
Sony,PS3,Gran Turismo 5,84
Sony,PS3,Lara Croft and the Guardian of Light,84
Sony,PS3,Vanquish,84
Sony,PS3,Marvel Pinball,83
Sony,PS3,Madden NFL 11,83
Sony,PS3,Final Fantasy XIII,83
Sony,PS3,Just Cause 2,83
Sony,PS3,2010 FIFA World Cup South Africa,82
Sony,PS3,Darksiders,82
Sony,PS3,Fallout: New Vegas,82
Sony,PS3,ModNation Racers,82
Sony,PS3,Blur,81
Sony,PS3,Hustle Kings,81
Sony,PS3,Resident Evil 5: Lost in Nightmares,81
Sony,PS3,Swords & Soldiers,81
Sony,PS3,Sam & Max: The Devil's Playhouse - Episode 1: The Penal Zone,81
Sony,PS3,Red Dead Redemption: Liars and Cheats,80
Sony,PS3,Dragon Age: Origins - Awakening,80
Sony,PS3,Dead Rising 2,80
Sony,PS3,Space Invaders Infinity Gene,80
Sony,PS3,Skate 3,80
Sony,PS3,Enslaved: Odyssey to the West,80
Sony,PS3,Tiger Woods PGA Tour 07,81
Sony,PS3,NBA 2K7,80
Sony,PS3,Call of Duty 3,80
Sony,PS3,NHL 2K7,79
Sony,PS3,Marvel: Ultimate Alliance,78
Sony,PS3,Super Puzzle Fighter II Turbo HD Remix,82
Sony,PS3,College Hoops 2K8,82
Sony,PS3,Tekken 5: Dark Resurrection,82
Sony,PS3,NBA 2K8,81
Sony,PS3,College Hoops 2K7,81
Sony,PS3,NBA Street Homecourt,81
Sony,PS3,Assassin's Creed,81
Sony,PS3,Madden NFL 08,81
Sony,PS3,FIFA Soccer 08,81
Sony,PS3,Virtua Tennis 3,80
Sony,PS3,The Darkness,80
Sony,PS3,LEGO Star Wars: The Complete Saga,80
Sony,PS3,Heavenly Sword,79
Sony,PS3,Tiger Woods PGA Tour 08,79
Sony,PS3,SingStar,82
Sony,PS3,Tiger Woods PGA Tour 09,82
